,date,OT
0,2008-01-01,112.06758176475464
1,2008-01-02,103.44323578832719
2,2008-01-03,96.02600579275598
3,2008-01-04,91.08450298485265
4,2008-01-05,88.93930136828844
5,2008-01-06,88.97392749310717
6,2008-01-07,90.00228196862314
7,2008-01-08,90.81395491219007
8,2008-01-09,90.65836187918268
9,2008-01-10,89.47402062837207
10,2008-01-11,87.79434596406387
11,2008-01-12,86.40616008409631
12,2008-01-13,85.93681923630061
13,2008-01-14,86.55997076305277
14,2008-01-15,87.93905869613893
15,2008-01-16,89.41040022085375
16,2008-01-17,90.30042207400508
17,2008-01-18,90.2217998905448
18,2008-01-19,89.21806980263747
19,2008-01-20,87.70750368164379
20,2008-01-21,86.27218862185049
21,2008-01-22,85.40240682643743
22,2008-01-23,85.31333251372178
23,2008-01-24,85.90377128483595
24,2008-01-25,86.85327992420304
25,2008-01-26,87.79195912308859
26,2008-01-27,88.45442881681055
27,2008-01-28,88.75185360584581
28,2008-01-29,88.7466117171811
29,2008-01-30,88.56449718940058
30,2008-01-31,88.30403104802049
31,2008-02-01,87.99235901895184
32,2008-02-02,87.60226335032661
33,2008-02-03,87.10699406961658
34,2008-02-04,86.53016071953112
35,2008-02-05,85.9558978921163
36,2008-02-06,85.49282125694877
37,2008-02-07,85.2157110276732
38,2008-02-08,85.12302383887798
39,2008-02-09,85.138252218886
40,2008-02-10,85.1555057075944
41,2008-02-11,85.10162068651248
42,2008-02-12,84.97601536089716
43,2008-02-13,84.84269404286385
44,2008-02-14,84.77890175945929
45,2008-02-15,84.81382793951495
46,2008-02-16,84.90001552929867
47,2008-02-17,84.94209325822712
48,2008-02-18,84.87068309663272
49,2008-02-19,84.71492675330266
50,2008-02-20,84.61727057758233
51,2008-02-21,84.75926355491201
52,2008-02-22,85.21800583729822
53,2008-02-23,85.82368224863521
54,2008-02-24,86.1092888757636
55,2008-02-25,85.41631178882221
56,2008-02-26,83.15058867605168
57,2008-02-27,79.10060514006469
58,2008-02-28,73.67708503814269
59,2008-02-29,67.94030152283212
60,2008-03-01,63.35603322385245
61,2008-03-02,61.335893877150454
62,2008-03-03,62.72320891852975
63,2008-03-04,67.43090033454666
64,2008-03-05,74.39547642438234
65,2008-03-06,81.89220468414625
66,2008-03-07,88.1082626375012
67,2008-03-08,91.75735057522533
68,2008-03-09,92.49328131370295
69,2008-03-10,90.95715252723518
70,2008-03-11,88.44294783042697
71,2008-03-12,86.32601590873217
72,2008-03-13,85.4979792277196
73,2008-03-14,86.04577033565788
74,2008-03-15,87.30332474736511
75,2008-03-16,88.2397728119339
76,2008-03-17,88.0007152796567
77,2008-03-18,86.35468545784595
78,2008-03-19,83.84337399791994
79,2008-03-20,81.56986094204635
80,2008-03-21,80.72224697844393
81,2008-03-22,82.04722051158208
82,2008-03-23,85.50742138379437
83,2008-03-24,90.271086845048
84,2008-03-25,95.03293164585504
85,2008-03-26,98.52021925782083
86,2008-03-27,99.96250411999677
87,2008-03-28,99.32923208825045
88,2008-03-29,97.25097083281685
89,2008-03-30,94.68354169805049
90,2008-03-31,92.48312839532079
91,2008-04-01,91.08649572713988
92,2008-04-02,90.42599323469855
93,2008-04-03,90.08882000079487
94,2008-04-04,89.61361068876636
95,2008-04-05,88.76004760761363
96,2008-04-06,87.6137542146484
97,2008-04-07,86.48260119339979
98,2008-04-08,85.65287977423671
99,2008-04-09,85.14787766125544
100,2008-04-10,84.63052788617524
101,2008-04-11,83.51695119843478
102,2008-04-12,81.25666006971221
103,2008-04-13,77.64378933104005
104,2008-04-14,72.99845082141604
105,2008-04-15,68.11248903867832
106,2008-04-16,63.964486970580914
107,2008-04-17,61.32225254839038
108,2008-04-18,60.412234198890964
109,2008-04-19,60.813389784555184
110,2008-04-20,61.63601419035736
111,2008-04-21,61.917547974215395
112,2008-04-22,61.06641258267542
113,2008-04-23,59.158306411045565
114,2008-04-24,56.95015677701645
115,2008-04-25,55.59827333365388
116,2008-04-26,56.195083802166735
117,2008-04-27,59.31658055808293
118,2008-04-28,64.76681083812655
119,2008-04-29,71.6206212141059
120,2008-04-30,78.54044281712657
121,2008-05-01,84.23252263910157
122,2008-05-02,87.85915048990755
123,2008-05-03,89.25353299858092
124,2008-05-04,88.87517444987823
125,2008-05-05,87.55271561899238
126,2008-05-06,86.14029933873753
127,2008-05-07,85.23172891251205
128,2008-05-08,85.03240727430645
129,2008-05-09,85.40840926898493
130,2008-05-10,86.05466022240867
131,2008-05-11,86.68395754159046
132,2008-05-12,87.14866257016462
133,2008-05-13,87.45574037683251
134,2008-05-14,87.69505880386791
135,2008-05-15,87.94050937653304
136,2008-05-16,88.18665948304027
137,2008-05-17,88.35341455278592
138,2008-05-18,88.34727073376837
139,2008-05-19,88.13501051552629
140,2008-05-20,87.78093151616004
141,2008-05-21,87.42251601298364
142,2008-05-22,87.19699666061192
143,2008-05-23,87.16096059045418
144,2008-05-24,87.25045778178539
145,2008-05-25,87.30730411661798
146,2008-05-26,87.16054258758348
147,2008-05-27,86.72058566121268
148,2008-05-28,86.03478091245525
149,2008-05-29,85.27222997656341
150,2008-05-30,84.64289624611638
151,2008-05-31,84.29175357186594
152,2008-06-01,84.22379317960358
153,2008-06-02,84.30151048432018
154,2008-06-03,84.31965674457597
155,2008-06-04,84.12120716212826
156,2008-06-05,83.69487139658877
157,2008-06-06,83.20091410367183
158,2008-06-07,82.9063050283471
159,2008-06-08,83.0557544821223
160,2008-06-09,83.73931914845869
161,2008-06-10,84.82245482932515
162,2008-06-11,85.97715705256977
163,2008-06-12,86.8056840477106
164,2008-06-13,87.00385189558243
165,2008-06-14,86.49063452116962
166,2008-06-15,85.44487127542794
167,2008-06-16,84.23187057516576
168,2008-06-17,83.25277872465382
169,2008-06-18,82.78412462527506
170,2008-06-19,82.87789735997049
171,2008-06-20,83.36301216193469
172,2008-06-21,83.94161660769058
173,2008-06-22,84.33109082492852
174,2008-06-23,84.38463006343773
175,2008-06-24,84.1374820138323
176,2008-06-25,83.76417804514774
177,2008-06-26,83.47513763927608
178,2008-06-27,83.40796013316758
179,2008-06-28,83.56727095699024
180,2008-06-29,83.83918358318998
181,2008-06-30,84.06714585254994
182,2008-07-01,84.14517459680883
183,2008-07-02,84.07737220643142
